end-of-line eol endline line-end end-of-string new-line end-line linefeed carriage-return line-feed cr+lf crlf cr-lf end-of-record end-of-text end-of-message line-ending newline line-continuation end-of-data #13#10
geopoints latlngs geocoordinates polylines pois placemarks geolocations geopoint geo-points latlong geo-coordinates airports latlongs lat-long latitudes longitudes cgpoints lat-longs linestrings latlng streets

installutil installutil.exe sc.exe regsvr32 gacutil regsvr32.exe gacutil.exe nssm regasm regsvcs msiexec psexec msiexec.exe regasm.exe myservice.exe corflags.exe cspack regserver aspnet_regiis.exe aspnet_regiis httpcfg.exe

sequences sequence strings substrings vectors tuples subsets encodings permutations characters codepoints nucleotides subsequences ranges integers combinations chars sentences pairs repetitions indices

nsbitmapimagerep nsimage cgimage cgimageref ciimage id2d1bitmap cvpixelbuffer hbitmap iwicbitmap cvpixelbufferref sktexture ximage cvimagebufferref cgbitmapcontext sdl_surface uiimage nscolor cgcontext nsbezierpath bitmapdata pixelbuffer

normalisation normalization denormalization normalizing normalising de-normalization quantization 3nf 1nf 6nf cleansing partitioning partioning modelling decomposition norms non-normalized denormalizing de-duplication 5nf de-normalizing

quit quits relaunch quitting exit terminate kill re-launch exit. exits restart exiting shutdown re-start abort suspend terminates reopen quiting pause finish

journaling journalling wal auto-commit checkpointing aof innodb_file_per_table file-per-table rcsi archivelog mvcc oplog autocommit fsync norecovery read-committed auto_vacuum durability txf write-ahead-log replication

cultureinfo cultureinfo.currentculture system.globalization.cultureinfo datetimeformatinfo currentculture invariantculture thread.currentthread.currentculture regioninfo currentuiculture shortdatepattern thread.currentthread.currentuiculture thread.currentculture cultureinfo.getcultureinfo cultureinfo.invariantculture culture culturename dateformat formatprovider numberformatinfo system.globalization.cultureinfo.currentculture uiculture

piecewise piece-wise spline vector-valued interpolant least-squares pchip nonlinear non-linear b-spline loess sinc sigmoidal splines hermite cubic multivariable lagrangian bspline least-square quadrature

addition addtion contrast adition regard essence regards order anticipation additon terms alluded absence opposition addiction respect advance spite accordance participate conjunction

associativity commutativity fixity right-associativity distributivity short-circuiting precedences left-associativity strictness infixr nonassoc transitivity foldl foldl1 foldr precedence right-associative unary symmetry greediness post-increment

spike spikes spiking peak slowdown fluctuations burst fluctuation surge lag spiked blip slow-down slow-downs slowdowns hiccup plateau skyrocket bursts cache-miss stall

quotas quota limits quota. limits. slas per-minute qouta charges allowance iops allotment policies ulimits overages sla fees limit. per-process bandwith capacities

treap red-black splay self-balancing skiplist k-d skip-list kd-tree tree-based linked-list data-structure union-find depth-first-search hash-table merkle disjoint-set b+tree quadtree redblack binary-tree bk-tree

genetic evolutionary q-learning probabilistic pso back-propagation bayesian stochastic monte-carlo machine-learning minimax genetics backpropagation pathfinding path-finding adaboost backpropogation apriori knn a-star baum-welch

permanent persistent temporary permenant permanently permament permanant long-term per-user persistant temporarily short-term durable secure semi-permanent read-only global div| automatic centralized user-specific

httpconnection urlconnection httpurlconnection httpsurlconnection defaulthttpclient androidhttpclient java.net.httpurlconnection java.net.url sslsocket java.net.socket httpsconnection ftpclient url.openstream httprequest webrequest asynchttpclient zend_http_client httptransportse httpclient url.openconnection webclient

bitblt stretchblt createcompatiblebitmap setdibits getdibits stretchdibits createdibsection hdc setdibitstodevice gldrawpixels setpixel getdc selectobject updatelayeredwindow alphablend stretchrect printwindow backbuffer glreadpixels createcompatibledc getpixel

balsamiq mockups wireframes wireframing balsamic omnigraffle axure justinmind mock-ups creately wireframesketcher foreui draw.io fireworks low-fidelity mockup stunning paintcode ranorex diagramming sketchflow

ierrorhandler idispatchmessageinspector iclientmessageinspector iservicebehavior iendpointbehavior iparameterinspector ioperationinvoker messageinspector idispatchmessageformatter iinstanceprovider ioperationbehavior iwsdlexportextension imessagefilter imodelbinder soaphandler iexceptionhandler iextensibledataobject ihttpmodule icontractbehavior ihandler iroutehandler

outliers peaks outlier correlations inliers missings nans covariates predictors contours p-values datapoints coefficients residuals observations quantiles noise frequencies discontinuities probabilities variances

recurring non-recurring reoccurring recuring reccuring bi-weekly multi-day recurrent re-occuring monthly subscription weekly fortnightly unsubscription yearly all-day non-renewing payment biweekly semi-annual preapproved

trend trends seasonality forecasts forecasting concentration forecast seasonal survival progression precipitation growth regression histogram holt-winters recession sma horizon slope loess fluctuation

portlet portlets liferay servlet webapp jsr-286 jsf jsr286 web-app renderurl jsf2 cq5 wicket jsr168 jsp webapplication facelet jsr-168 view.jsp vaadin instanceable

sysobjects syscolumns sys.objects sys.tables sys.columns information_schema.tables systables information_schema.columns sysindexes all_tables all_tab_columns user_tables sys.databases sqlite_master systypes information_schema.routines sys.indexes sys.procedures pg_class user_tab_columns sys.types

username password userid user_name user-name nickname credentials pasword passwort usename passowrd emailid username. loginid uid pwd pw passsword emailadress usernames mypassword

describe explain depict demonstrate convey understand describing dictate relate formulate describes discuss illustrate summarize characterize identify clarify discover represent visualize replicate

runlevel runlevels telinit rsyslogd update-rc.d gst_debug vncserver start_link sektion innodb_force_recovery --workers osfamily -np celeryd run-parts gdm rc.d syslogd inittab snmpd start-stop-daemon

objective-c++ objc++ .mm objc obj-c++ obj-c objectivec objective-c object-c .hpp non-arc .cc .c #import .cpp .cu cpp .h .m hpp extern

ota over-the-air mdm testflightapp testflight diawi airwatch testflightapp.com hockeyapp diawi.com app-store testfairy activesync cydia appcenter ipa adhoc fota adk rim appstore

pop-up popup dialog dialogue modal popups popout messagebox dialogbox popover pop-out flyout confirmation pop-ups alert lightbox pupup tooltip poup message-box popoup

picturebox picturebox1 timage jlabel jpanel usercontrol groupbox textblock picbox uiimageview flowlayoutpanel rectangle jframe richtextbox stackpanel picturebox2 panel1 listbox jbutton movieclip tablelayoutpanel

bulk batches upserts direct-path batched batching bulks bigquery multi-row bcp record-by-record batch upsert sqlbulkcopy sqoop mass batch_mutate bulk-insert multiple-row dynamodb bulkinsert

controller controler controller. presenter contoller maincontroller viewmodel viewcontroller homecontroller logincontroller conroller controllers searchcontroller uiviewcontroller usercontroller mainviewcontroller mainview mycontroller appcontroller userscontroller route

paradigms methodologies idioms philosophies concepts notions langauges technologies metaphors languages. paradigm langages designs aspects principles toolkits disciplines viewpoints techniques terminologies syntaxes

graphics graphic gfx opengl 3d graphics. cg graphics2d bitmap-based java2d bindless drawings decals retained-mode immediate-mode p3d stereoscopic graphis rasterizer g2d vector-based

createwindow createwindowex showwindow setparent setwindowpos setwindowlong setwindowlongptr createdialog destroywindow findwindowex createthread setwindowtext getdlgitem registerclassex movewindow redrawwindow setforegroundwindow getwindowtext findwindow printwindow getwindowlong

brunch watchify webpack mimosa gruntjs grunt-contrib-watch gulp grunt angular-cli gulpjs jspm webpack-dev-server gulp-uglify browserify brunch.io broccoli gulp-sass grunt-contrib-requirejs docpad ember-cli lite-server

repetition duplication repetitions repitition redundancy repetion backtracking duplications redundancies redundance repition duplication. repeating repeatition repeatation quantifier greediness repetitive nesting ugliness duplicates

mongoimport mongoexport mongodump mongorestore mysqlimport sstableloader neo4j-shell bsondump ogr2ogr mysqldump pg_dump mongofiles pg_restore dumpdata sstable2json db2move sqoop .import osm2pgsql --jsonarray bcp

c5 c4 c6 b5 c3 c7 b7 b3 d4 e3 b4 c8 b6 b50 d5 a3 c20 c10 d10 b9 a5

jetbrains jetbrain s.r.o smartbear atlassian phped eclipse.org nusphere sonarsource springsource embarcadero dotmemory cfeclipse 2016.2 datagrip phpeclipse dotcover webstorm intellij-based inspectcode resharper

ibatis mybatis querydsl jdbi jooq openjpa jpa2 hiberante eclipselink hibernate hiberate spring-data hibenate jpa jdbctemplate jdo kundera toplink ebean hybernate spring-jpa

cypher gremlin sparql cql hql jpql py2neo n1ql aql neo4jclient neo4j tsql gql orientdb t-sql querydsl cql3 xquery hiveql dql geonear

sortable draggable droppable filterable collapsible resizable selectable multiselect dragable rubaxa dropable reorderable sortables connectwith datatables accordion sort-able resizeable scrollable isotope draggables

cryptojs sjcl crypto-js blowfish as3crypto rncryptor aes256 jsencrypt aes-256 slowaes tripledes openssl_encrypt crypto++ aes-256-cbc pidcrypt bouncycastle sha256 3des aes-128 phpass passlib

xpages xpage sapui5 extlib ui5 vaadin adf xpinc openui5 domino openntf smartgwt wicket aem icefaces jsf dojo liferay javafx smartclient wcm

dataflow tpl mapreduce map-reduce etl dataflows data-flow bigquery flink scalding pdi plinq orchestration spring-xd bigdata spring-batch gpars big-data pubsubio kettle scheduling

vimeo soundcloud dailymotion youtube wistia brightcove flowplayer ooyala flickr youtubes ustream vzaar vimeo.com spotify jwplayer oembed deezer instagram video.js livestream youku

logfiles logfile log-files syslogs log-file access.log catalina.out access_log app.log datafiles logs server.log httperr error.log test.log userlogs system.log a.log boot.log catalina.log logrotate.d

appearance appearence apperance appeareance tintcolor visibility appereance backcolor disappearance colour translucency color tint look-and-feel apearance backgroundcolor z-order forecolor titlebar appearance. style

datacontract messagecontract datamember knowntype servicecontract datacontractserializer protocontract serviceknowntype serializableattribute xmlelement datacontractattribute xmlserializer datacontracts xmlserialization xmlattribute datacontractjsonserializer knowntypes jsonproperty operationcontract xmlrootelement webget

value values value. result string element val row length position variable date score character field timestamp id parameter price integer quantity

queuing queueing queing queues scheduling batching acking pub-sub queued queue throttling queue. fire-and-forget dead-letter re-queue dispatching redelivery broker retrying job-queue sqs
